"material_type","county","material_tons_generated_sum_of_all_streams"
"PETE Plastic Containers","Alameda (Countywide)",6748.67504854198
"HDPE Plastic Containers","Alameda (Countywide)",4265.4182102255
"Miscellaneous Plastic Containers","Alameda (Countywide)",4119.46585748948
"Plastic Trash Bags","Alameda (Countywide)",14896.9024607405
"Plastic Grocery and Other Merchandise Bags","Alameda (Countywide)",2500.34970288588
"Non-Bag Commercial and Industrial Packaging Film","Alameda (Countywide)",5568.30618927727
"Film Products","Alameda (Countywide)",306.882727003712
"Other Film - Other","Alameda (Countywide)",17793.5024285069
"Durable Plastic Items - #2 and #5 Bulky Rigids","Alameda (Countywide)",2571.1065381054
"Durable Plastic Items - Other","Alameda (Countywide)",8185.16937320115
"Remainder / Composite Plastic","Alameda (Countywide)",32828.8270336048
"PETE Plastic Containers","Alpine (Countywide)",4.47079792725382
"HDPE Plastic Containers","Alpine (Countywide)",2.77918002976351
"Miscellaneous Plastic Containers","Alpine (Countywide)",2.3232379155285
"Plastic Trash Bags","Alpine (Countywide)",6.72243619968336
"Plastic Grocery and Other Merchandise Bags","Alpine (Countywide)",1.86430483741032
"Non-Bag Commercial and Industrial Packaging Film","Alpine (Countywide)",1.12608756319318
"Film Products","Alpine (Countywide)",0.0457249553273409
"Other Film - Other","Alpine (Countywide)",7.30055630931445
"Durable Plastic Items - #2 and #5 Bulky Rigids","Alpine (Countywide)",1.64826548582999
"Durable Plastic Items - Other","Alpine (Countywide)",4.26541513799597
"Remainder / Composite Plastic","Alpine (Countywide)",14.4801092645237
"PETE Plastic Containers","Amador (Countywide)",86.419222260849
"HDPE Plastic Containers","Amador (Countywide)",57.5562537184417
"Miscellaneous Plastic Containers","Amador (Countywide)",47.6840601113618
"Plastic Trash Bags","Amador (Countywide)",193.703780693125
"Plastic Grocery and Other Merchandise Bags","Amador (Countywide)",30.8216061903405
"Non-Bag Commercial and Industrial Packaging Film","Amador (Countywide)",68.3699923136072
"Film Products","Amador (Countywide)",7.7224973075136
"Other Film - Other","Amador (Countywide)",224.867987048521
"Durable Plastic Items - #2 and #5 Bulky Rigids","Amador (Countywide)",30.2667434005387
"Durable Plastic Items - Other","Amador (Countywide)",105.164276428454
"Remainder / Composite Plastic","Amador (Countywide)",392.319142977157
"PETE Plastic Containers","Butte (Countywide)",844.872385160032
"HDPE Plastic Containers","Butte (Countywide)",532.073555273842
"Miscellaneous Plastic Containers","Butte (Countywide)",445.551219117576
"Plastic Trash Bags","Butte (Countywide)",1757.91319494184
"Plastic Grocery and Other Merchandise Bags","Butte (Countywide)",318.950794698852
"Non-Bag Commercial and Industrial Packaging Film","Butte (Countywide)",523.161566061214
"Film Products","Butte (Countywide)",37.9714926422046
"Other Film - Other","Butte (Countywide)",2074.35429742781
"Durable Plastic Items - #2 and #5 Bulky Rigids","Butte (Countywide)",284.877351301288
"Durable Plastic Items - Other","Butte (Countywide)",921.968492271001
"Remainder / Composite Plastic","Butte (Countywide)",3538.21666325437
"PETE Plastic Containers","Calaveras (Countywide)",83.7244809792979
"HDPE Plastic Containers","Calaveras (Countywide)",49.9911691074315
"Miscellaneous Plastic Containers","Calaveras (Countywide)",41.9850742837407
"Plastic Trash Bags","Calaveras (Countywide)",174.151894502428
"Plastic Grocery and Other Merchandise Bags","Calaveras (Countywide)",27.6079867969001
"Non-Bag Commercial and Industrial Packaging Film","Calaveras (Countywide)",46.7471471827254
"Film Products","Calaveras (Countywide)",7.03847665185518
"Other Film - Other","Calaveras (Countywide)",196.974093844621
"Durable Plastic Items - #2 and #5 Bulky Rigids","Calaveras (Countywide)",25.7825511234539
"Durable Plastic Items - Other","Calaveras (Countywide)",78.1054031459489
"Remainder / Composite Plastic","Calaveras (Countywide)",329.27898274474
"PETE Plastic Containers","Colusa (Countywide)",63.412961014942
"HDPE Plastic Containers","Colusa (Countywide)",41.1665038454948
"Miscellaneous Plastic Containers","Colusa (Countywide)",37.8870313392992
"Plastic Trash Bags","Colusa (Countywide)",153.002226297929
"Plastic Grocery and Other Merchandise Bags","Colusa (Countywide)",19.9172235212792
"Non-Bag Commercial and Industrial Packaging Film","Colusa (Countywide)",117.22004441625
"Film Products","Colusa (Countywide)",4.16614199997672
"Other Film - Other","Colusa (Countywide)",235.050172072853
"Durable Plastic Items - #2 and #5 Bulky Rigids","Colusa (Countywide)",31.1253108332458
"Durable Plastic Items - Other","Colusa (Countywide)",72.0600726429831
"Remainder / Composite Plastic","Colusa (Countywide)",283.600753634343
"PETE Plastic Containers","Contra Costa (Countywide)",3392.2933703141
"HDPE Plastic Containers","Contra Costa (Countywide)",2237.04211424399
"Miscellaneous Plastic Containers","Contra Costa (Countywide)",2002.15637594501
"Plastic Trash Bags","Contra Costa (Countywide)",7681.64946369295
"Plastic Grocery and Other Merchandise Bags","Contra Costa (Countywide)",1248.63502823758
"Non-Bag Commercial and Industrial Packaging Film","Contra Costa (Countywide)",2407.38962948484
"Film Products","Contra Costa (Countywide)",181.679918393845
"Other Film - Other","Contra Costa (Countywide)",8794.14741167773
"Durable Plastic Items - #2 and #5 Bulky Rigids","Contra Costa (Countywide)",1239.35460040596
"Durable Plastic Items - Other","Contra Costa (Countywide)",4056.52060251586
"Remainder / Composite Plastic","Contra Costa (Countywide)",16457.680690512
"PETE Plastic Containers","Del Norte (Countywide)",86.0791768224726
"HDPE Plastic Containers","Del Norte (Countywide)",52.3588858533366
"Miscellaneous Plastic Containers","Del Norte (Countywide)",43.8875050769317
"Plastic Trash Bags","Del Norte (Countywide)",164.035244656447
"Plastic Grocery and Other Merchandise Bags","Del Norte (Countywide)",34.6200202838353
"Non-Bag Commercial and Industrial Packaging Film","Del Norte (Countywide)",36.1251414041593
"Film Products","Del Norte (Countywide)",3.88324879521345
"Other Film - Other","Del Norte (Countywide)",185.573288769817
"Durable Plastic Items - #2 and #5 Bulky Rigids","Del Norte (Countywide)",25.9990248611936
"Durable Plastic Items - Other","Del Norte (Countywide)",89.9456807642453
"Remainder / Composite Plastic","Del Norte (Countywide)",326.721077600648
"PETE Plastic Containers","El Dorado (Countywide)",503.716337680982
"HDPE Plastic Containers","El Dorado (Countywide)",322.790082833885
"Miscellaneous Plastic Containers","El Dorado (Countywide)",277.186660842132
