"material_type","county","material_tons_disposed","material_tons_in_curbside_recycle","material_tons_in_curbside_organics","material_tons_in_other_diversion","material_tons_generated_sum_of_all_streams"
"PETE Plastic Containers","Alameda (Countywide)",4113.64379576046,2116.11708648662,20.7958547340401,498.118311560865,6748.67504854198
"HDPE Plastic Containers","Alameda (Countywide)",3162.51404164845,1024.73327277855,3.05585124452465,75.1150445539824,4265.4182102255
"Miscellaneous Plastic Containers","Alameda (Countywide)",2493.97971182274,1427.30624447375,10.9223254069864,187.257575786005,4119.46585748948
"Plastic Trash Bags","Alameda (Countywide)",14588.9428438724,271.311062473992,6.12615906013816,30.522395333945,14896.9024607405
"Plastic Grocery and Other Merchandise Bags","Alameda (Countywide)",2151.98512864005,346.665116590301,1.38800910327428,0.311448552256296,2500.34970288588
"Non-Bag Commercial and Industrial Packaging Film","Alameda (Countywide)",4524.25581296199,796.674950786801,3.89329445980236,243.482131068671,5568.30618927727
"Film Products","Alameda (Countywide)",91.5856241103192,73.2953007934053,1.01020549198237,140.991596608005,306.882727003712
"Other Film - Other","Alameda (Countywide)",16883.6147507462,801.107071582929,59.8107751076452,48.9698310700993,17793.5024285069
"Durable Plastic Items - #2 and #5 Bulky Rigids","Alameda (Countywide)",1509.77606726896,970.990693383387,0,90.3397774530527,2571.1065381054
"Durable Plastic Items - Other","Alameda (Countywide)",7597.44796942633,433.678643209944,2.50127406228484,151.541486502592,8185.16937320115
"Remainder / Composite Plastic","Alameda (Countywide)",31281.8719555847,1270.64469294851,16.706352645338,259.604032426261,32828.8270336048
"PETE Plastic Containers","Alpine (Countywide)",2.57262251949196,1.59652645776231,0.00372652629493863,0.297922423704608,4.47079792725382
"HDPE Plastic Containers","Alpine (Countywide)",1.72494956888862,1.02594174777185,3.04912572734567e-05,0.0282582218457659,2.77918002976351
"Miscellaneous Plastic Containers","Alpine (Countywide)",1.61322992958338,0.692560380354276,0.00111293089048117,0.0163346747003576,2.3232379155285
"Plastic Trash Bags","Alpine (Countywide)",6.49174397362344,0.228612478345319,0.0020797477145942,0,6.72243619968336
"Plastic Grocery and Other Merchandise Bags","Alpine (Countywide)",1.70430574228042,0.159425163161838,0,0.000573931968060593,1.86430483741032
"Non-Bag Commercial and Industrial Packaging Film","Alpine (Countywide)",0.972756531952815,0.153331031240363,0,0,1.12608756319318
"Film Products","Alpine (Countywide)",0.0121843216934294,0.0324441855095236,0,0.00109644812438799,0.0457249553273409
"Other Film - Other","Alpine (Countywide)",6.55124396997444,0.746749102012368,0.000783636929477574,0.00177960039816321,7.30055630931445
"Durable Plastic Items - #2 and #5 Bulky Rigids","Alpine (Countywide)",0.951173632992408,0.673733618104378,0,0.0233582347331997,1.64826548582999
"Durable Plastic Items - Other","Alpine (Countywide)",3.8893960246389,0.37525358754953,0.000762281431836418,3.24437569915405e-06,4.26541513799597
"Remainder / Composite Plastic","Alpine (Countywide)",13.7125548405272,0.743230672985681,0.00502601149717519,0.0192977395136793,14.4801092645237
"PETE Plastic Containers","Amador (Countywide)",53.6515868288561,25.2008096151786,0.235014324099279,7.331811492715,86.419222260849
"HDPE Plastic Containers","Amador (Countywide)",40.2351953008156,16.7766721119071,0.0511097580459537,0.493276547673112,57.5562537184417
"Miscellaneous Plastic Containers","Amador (Countywide)",31.8006443862699,14.8296491950895,0.126112017076974,0.927654512925378,47.6840601113618
"Plastic Trash Bags","Amador (Countywide)",189.160830886624,3.55368096225616,0.0864893665265891,0.902779477718121,193.703780693125
"Plastic Grocery and Other Merchandise Bags","Amador (Countywide)",26.2686876044666,4.50294811807774,0.0409514291907886,0.00901903860542138,30.8216061903405
"Non-Bag Commercial and Industrial Packaging Film","Amador (Countywide)",54.224861216351,6.97483676176478,0.0492682386235088,7.1210260968679,68.3699923136072
"Film Products","Amador (Countywide)",2.09665877028203,1.35913741899248,0.0146209770585246,4.25208014118058,7.7224973075136
"Other Film - Other","Amador (Countywide)",213.839979820082,9.09035145117506,0.804435906839285,1.13321987042444,224.867987048521
"Durable Plastic Items - #2 and #5 Bulky Rigids","Amador (Countywide)",19.1938929609915,10.2873076306888,0,0.785542808858445,30.2667434005387
"Durable Plastic Items - Other","Amador (Countywide)",99.9949496256604,3.60679757164669,0.0204799611353384,1.54204927001114,105.164276428454
"Remainder / Composite Plastic","Amador (Countywide)",375.076750159941,12.900135922023,0.275922670537953,4.06633422465465,392.319142977157
"PETE Plastic Containers","Butte (Countywide)",521.373838976432,262.501109112485,2.36797469564312,58.6294623754718,844.872385160032
"HDPE Plastic Containers","Butte (Countywide)",386.794601238738,138.598031707381,0.464068807893952,6.21685351982843,532.073555273842
"Miscellaneous Plastic Containers","Butte (Countywide)",305.761674052396,132.381778012284,1.28839628336009,6.1193707695359,445.551219117576
"Plastic Trash Bags","Butte (Countywide)",1719.57457949544,33.7404973961757,0.696832499964464,3.90128555026567,1757.91319494184
"Plastic Grocery and Other Merchandise Bags","Butte (Countywide)",272.00357480105,46.7372144529882,0.183588978670729,0.02641646614275,318.950794698852
"Non-Bag Commercial and Industrial Packaging Film","Butte (Countywide)",433.029024609521,57.4296326557193,0.529653272498169,32.1732555234758,523.161566061214
"Film Products","Butte (Countywide)",9.93141724180265,9.99623191954864,0.16114859497113,17.8826948858822,37.9714926422046
"Other Film - Other","Butte (Countywide)",1960.80698879009,98.7938618158084,8.16067203297062,6.5927747889436,2074.35429742781
"Durable Plastic Items - #2 and #5 Bulky Rigids","Butte (Countywide)",152.484062202245,122.874811995617,0,9.51847710342565,284.877351301288
"Durable Plastic Items - Other","Butte (Countywide)",867.381230101294,46.9604830179965,0.154387399327936,7.47239175238234,921.968492271001
"Remainder / Composite Plastic","Butte (Countywide)",3390.62132728298,123.947441663137,2.6567197428545,20.9911745653976,3538.21666325437
"PETE Plastic Containers","Calaveras (Countywide)",49.2072869720291,25.3089165479529,0.240594833105372,8.96768262621052,83.7244809792979
"HDPE Plastic Containers","Calaveras (Countywide)",35.8851643726982,13.3787349525807,0.0427092094081545,0.684560572744462,49.9911691074315
