"material_type","county","total_residential_tons"
"PETE Plastic Containers","Alameda (Countywide)",2751
"HDPE Plastic Containers","Alameda (Countywide)",1757
"Miscellaneous Plastic Containers","Alameda (Countywide)",2939
"Plastic Trash Bags","Alameda (Countywide)",5690
"Plastic Grocery and Other Merchandise Bags","Alameda (Countywide)",2794
"Non-Bag Commercial and Industrial Packaging Film","Alameda (Countywide)",927
"Film Products","Alameda (Countywide)",173
"Other Film - Other","Alameda (Countywide)",9695
"Durable Plastic Items - #2 and #5 Bulky Rigids","Alameda (Countywide)",1319
"Durable Plastic Items - Other","Alameda (Countywide)",3506
"Remainder / Composite Plastic","Alameda (Countywide)",9342
"PETE Plastic Containers","Alpine (Countywide)",3
"HDPE Plastic Containers","Alpine (Countywide)",2
"Miscellaneous Plastic Containers","Alpine (Countywide)",2
"Plastic Trash Bags","Alpine (Countywide)",4
"Plastic Grocery and Other Merchandise Bags","Alpine (Countywide)",2
"Non-Bag Commercial and Industrial Packaging Film","Alpine (Countywide)",1
"Film Products","Alpine (Countywide)",0
"Other Film - Other","Alpine (Countywide)",7
"Durable Plastic Items - #2 and #5 Bulky Rigids","Alpine (Countywide)",2
"Durable Plastic Items - Other","Alpine (Countywide)",3
"Remainder / Composite Plastic","Alpine (Countywide)",7
"PETE Plastic Containers","Amador (Countywide)",96
"HDPE Plastic Containers","Amador (Countywide)",54
"Miscellaneous Plastic Containers","Amador (Countywide)",54
"Plastic Trash Bags","Amador (Countywide)",145
"Plastic Grocery and Other Merchandise Bags","Amador (Countywide)",64
"Non-Bag Commercial and Industrial Packaging Film","Amador (Countywide)",17
"Film Products","Amador (Countywide)",0
"Other Film - Other","Amador (Countywide)",234
"Durable Plastic Items - #2 and #5 Bulky Rigids","Amador (Countywide)",72
"Durable Plastic Items - Other","Amador (Countywide)",90
"Remainder / Composite Plastic","Amador (Countywide)",181
"PETE Plastic Containers","Butte (Countywide)",531
"HDPE Plastic Containers","Butte (Countywide)",402
"Miscellaneous Plastic Containers","Butte (Countywide)",451
"Plastic Trash Bags","Butte (Countywide)",781
"Plastic Grocery and Other Merchandise Bags","Butte (Countywide)",640
"Non-Bag Commercial and Industrial Packaging Film","Butte (Countywide)",66
"Film Products","Butte (Countywide)",68
"Other Film - Other","Butte (Countywide)",1322
"Durable Plastic Items - #2 and #5 Bulky Rigids","Butte (Countywide)",492
"Durable Plastic Items - Other","Butte (Countywide)",561
"Remainder / Composite Plastic","Butte (Countywide)",1720
"PETE Plastic Containers","Calaveras (Countywide)",125
"HDPE Plastic Containers","Calaveras (Countywide)",70
"Miscellaneous Plastic Containers","Calaveras (Countywide)",70
"Plastic Trash Bags","Calaveras (Countywide)",189
"Plastic Grocery and Other Merchandise Bags","Calaveras (Countywide)",82
"Non-Bag Commercial and Industrial Packaging Film","Calaveras (Countywide)",22
"Film Products","Calaveras (Countywide)",0
"Other Film - Other","Calaveras (Countywide)",305
"Durable Plastic Items - #2 and #5 Bulky Rigids","Calaveras (Countywide)",96
"Durable Plastic Items - Other","Calaveras (Countywide)",116
"Remainder / Composite Plastic","Calaveras (Countywide)",229
"PETE Plastic Containers","Colusa (Countywide)",53
"HDPE Plastic Containers","Colusa (Countywide)",43
"Miscellaneous Plastic Containers","Colusa (Countywide)",47
"Plastic Trash Bags","Colusa (Countywide)",80
"Plastic Grocery and Other Merchandise Bags","Colusa (Countywide)",66
"Non-Bag Commercial and Industrial Packaging Film","Colusa (Countywide)",6
"Film Products","Colusa (Countywide)",8
"Other Film - Other","Colusa (Countywide)",133
"Durable Plastic Items - #2 and #5 Bulky Rigids","Colusa (Countywide)",57
"Durable Plastic Items - Other","Colusa (Countywide)",54
"Remainder / Composite Plastic","Colusa (Countywide)",167
"PETE Plastic Containers","Contra Costa (Countywide)",1826
"HDPE Plastic Containers","Contra Costa (Countywide)",1217
"Miscellaneous Plastic Containers","Contra Costa (Countywide)",2094
"Plastic Trash Bags","Contra Costa (Countywide)",4099
"Plastic Grocery and Other Merchandise Bags","Contra Costa (Countywide)",1880
"Non-Bag Commercial and Industrial Packaging Film","Contra Costa (Countywide)",674
"Film Products","Contra Costa (Countywide)",138
"Other Film - Other","Contra Costa (Countywide)",6890
"Durable Plastic Items - #2 and #5 Bulky Rigids","Contra Costa (Countywide)",988
"Durable Plastic Items - Other","Contra Costa (Countywide)",2349
"Remainder / Composite Plastic","Contra Costa (Countywide)",6110
"PETE Plastic Containers","Del Norte (Countywide)",48
"HDPE Plastic Containers","Del Norte (Countywide)",26
"Miscellaneous Plastic Containers","Del Norte (Countywide)",39
"Plastic Trash Bags","Del Norte (Countywide)",92
"Plastic Grocery and Other Merchandise Bags","Del Norte (Countywide)",33
"Non-Bag Commercial and Industrial Packaging Film","Del Norte (Countywide)",10
"Film Products","Del Norte (Countywide)",0
"Other Film - Other","Del Norte (Countywide)",150
"Durable Plastic Items - #2 and #5 Bulky Rigids","Del Norte (Countywide)",16
"Durable Plastic Items - Other","Del Norte (Countywide)",53
"Remainder / Composite Plastic","Del Norte (Countywide)",154
"PETE Plastic Containers","El Dorado (Countywide)",510
"HDPE Plastic Containers","El Dorado (Countywide)",287
"Miscellaneous Plastic Containers","El Dorado (Countywide)",285
"Plastic Trash Bags","El Dorado (Countywide)",771
"Plastic Grocery and Other Merchandise Bags","El Dorado (Countywide)",335
"Non-Bag Commercial and Industrial Packaging Film","El Dorado (Countywide)",92
"Film Products","El Dorado (Countywide)",0
"Other Film - Other","El Dorado (Countywide)",1240
